frame,tiempo_segundos,id,direccion
1619,53.97,14,SALIDA
2423,80.77,33,SALIDA
2800,93.33,60,SALIDA
3546,118.2,72,ENTRADA
4861,162.03,80,SALIDA
4894,163.13,81,SALIDA
5667,188.9,95,SALIDA
5834,194.47,98,SALIDA
5889,196.3,105,ENTRADA
5893,196.43,106,ENTRADA
6063,202.1,112,ENTRADA
6063,202.1,113,SALIDA
6382,212.73,133,SALIDA
6387,212.9,128,SALIDA
6643,221.43,142,ENTRADA
6777,225.9,145,ENTRADA
7687,256.23,160,SALIDA
7806,260.2,164,SALIDA
8169,272.3,170,SALIDA
8321,277.37,173,ENTRADA
8349,278.3,184,SALIDA
8384,279.47,187,ENTRADA
